Acampora, Spezia, midfielder, 4
Acerbi, Lazio, defender, 18
Adopo, Torino, midfielder, 1
Adorante, Parma, forward, 1
Agoume, Spezia, midfielder, 4
Agudelo, Spezia, midfielder, 12
Akpa-Akpro, Lazio, midfielder, 4
Alex Sandro, Juventus, defender, 15
Alia, Lazio, goalkeeper, 1
Amione, Verona, defender, 2
Amrabat, Fiorentina, midfielder, 14
Anderson D, Lazio, midfielder, 3
Ansaldi, Torino, defender, 16
Aresti, Cagliari, goalkeeper, 1
Armini, Lazio, defender, 1
Arslan, Udinese, midfielder, 11
Arthur, Juventus, midfielder, 17
Askildsen, Sampdoria, midfielder, 4
Asoro, Genoa, forward, 8
Audero, Sampdoria, goalkeeper, 17
Augello, Sampdoria, defender, 10
Avogadri, Sampdoria, goalkeeper, 1
Ayhan, Sassuolo, defender, 8
Badelj, Genoa, midfielder, 9
Bakayoko, Napoli, midfielder, 15
Baldursson, Bologna, midfielder, 1
Balogh, Parma, defender, 1
Bani, Genoa, defender, 8
Barak, Verona, midfielder, 18
Barba, Benevento, defender, 8
Barella, Inter, midfielder, 21
Barreca, Fiorentina, defender, 5
Barrow, Bologna, forward, 20
Baselli, Torino, midfielder, 12
Basit, Benevento, midfielder, 1
Bastoni, Inter, defender, 12
Bastoni S, Spezia, defender, 6
Becao, Udinese, defender, 8
Behrami, Genoa, midfielder, 8
Belotti, Torino, forward, 37
Benali, Crotone, midfielder, 12
Benassi, Verona, midfielder, 13
Bennacer, Milan, midfielder, 14
Bentancur, Juventus, midfielder, 15
Berardi, Sassuolo, forward, 34
Berardi A, Verona, goalkeeper, 1
Bereszynski, Sampdoria, defender, 7
Bernardeschi, Juventus, midfielder, 15
Biraghi, Fiorentina, defender, 14
Biraschi, Genoa, defender, 7
Boer, Roma, goalkeeper, 1
Boga, Sassuolo, forward, 24
Bonaventura, Fiorentina, midfielder, 12
Bonazzoli, Torino, forward, 16
Bonifazi, Udinese, defender, 8
Bonucci, Juventus, defender, 18
Borja Valero, Fiorentina, midfielder, 12
Bourabia, Sassuolo, midfielder, 9
Brancolini, Fiorentina, goalkeeper, 1
Bremer, Torino, defender, 16
Breza, Bologna, goalkeeper, 1
Brlek, Genoa, midfielder, 4
Brozovic, Inter, midfielder, 20
Brugman, Parma, midfielder, 8
Brunetta, Parma, midfielder, 11
Bruno Alves, Parma, defender, 9
Bruno Peres, Roma, defender, 10
Buffon, Juventus, goalkeeper, 6
Buongiorno, Torino, defender, 1
Busi, Parma, defender, 4
C Ronaldo, Juventus, forward, 56
Caceres, Fiorentina, defender, 10
Caicedo, Lazio, forward, 23
Calabresi, Bologna, defender, 3
Calabria, Milan, defender, 15
Calafiori, Roma, defender, 1
Caldara, Atalanta, defender, 8
Caldirola, Benevento, defender, 11
Calhanoglu, Milan, midfielder, 25
Caligara, Cagliari, midfielder, 2
Callejon, Fiorentina, midfielder, 17
Candreva, Sampdoria, midfielder, 25
Capradossi, Spezia, defender, 3
Caprari, Benevento, forward, 15
Caputo, Sassuolo, forward, 32
Carboni A, Cagliari, defender, 5
Caso, Genoa, forward, 1
Cassata, Genoa, midfielder, 7
Castillejo, Milan, midfielder, 15
Castrovilli, Fiorentina, midfielder, 19
Cataldi, Lazio, midfielder, 8
Caviglia, Parma, midfielder, 3
Ceccherini, Verona, defender, 8
Ceppitelli, Cagliari, defender, 9
Cerri, Cagliari, forward, 7
Cetin, Verona, defender, 4
Chabot, Spezia, defender, 8
Chiellini, Juventus, defender, 15
Chiesa, Juventus, midfielder, 33
Chiriches, Sassuolo, defender, 9
Cigarini, Crotone, midfielder, 6
Cleonise, Genoa, forward, 1
Colley, Sampdoria, defender, 10
Colley E, Verona, forward, 9
Colombi, Parma, goalkeeper, 1
Colombo, Milan, forward, 1
Consigli, Sassuolo, goalkeeper, 14
Conti, Milan, defender, 9
Contini, Napoli, goalkeeper, 1
Cordaz, Crotone, goalkeeper, 7
Cornelius, Parma, forward, 14
Correa, Lazio, forward, 21
Cragno, Cagliari, goalkeeper, 14
Crespi, Crotone, goalkeeper, 1
Criscito, Genoa, defender, 20
Cristante, Roma, midfielder, 12
Crociata, Crotone, midfielder, 8
Cuadrado, Juventus, defender, 17
Cuomo, Crotone, defender, 4
Cyprien, Parma, midfielder, 12
Czyborra, Genoa, defender, 6
D'ambrosio, Inter, defender, 19
Da Costa, Bologna, goalkeeper, 3
