Abe Lenstra,710,Netherlands,27/11/1920
Alfredo Di Stéfano,513,Argentina,04/07/1926
Boy Martin,541,Ireland,01/02/1914
Cristiano Ronaldo,798,Portugal,05/02/1985
Dixie Dean,531,England,22/01/1907
Ernest Wilimowski,663,Germany,23/06/1916
Erwin Helmchen,982,Germany,10/05/1907
Eusébio,591,Mozambique,25/01/1942
Ferenc Bene,630,Hungary,17/12/1944
Ferenc Deák,794,Hungary,16/01/1922
Ferenc Puskás,808,Hungary,01/04/1927
Ferenc Szusza,541,Hungary,01/12/1923
Fernando Peyroteo,597,Portugal,10/03/1918
Franz Binder,569,Austria,01/12/1911
Fritz Walter,574,Germany,31/10/1920
Gerd Müller,735,Germany,03/11/1945
Glenn Ferguson,563,Ireland,10/07/1969
Gunnar Nordahl,510,Sweden,19/10/1921
Gyula Zsengellér,611,Hungary,27/12/1915
György Sárosi,507,Austria,05/08/1912
Hans Krankl,518,Austria,14/02/1953
Hughie Gallacher,507,Scotland,02/02/1903
Hugo Sánchez,562,Mexico,11/07/1958
Imre Schlosser,569,Austria,11/10/1889
Isidro Lángara,534,Spain,25/05/1912
Jimmy Greaves,567,England,20/02/1940
Jimmy Jones,673,Ireland,25/07/1928
Jimmy McGrory,549,Scotland,26/04/1904
Joe Bambrick,678,Ireland,03/11/1905
Josef Bican,948,Austria,25/09/1913
Joseph Mermans,509,Belgium,16/02/1922
José Torres,561,Portugal,08/09/1938
József Takács,518,Austria,30/06/1904
Lajos Tichy,500,Hungary,21/03/1935
Lionel Messi,774,Argentina,24/06/1987
Luis Suárez,508,Uruguay,24/01/1987
Nándor Hidegkuti,526,Hungary,03/03/1922
Pelé,775,Brasil,23/10/1940
Robert Lewandowski,558,Poland,21/08/1988
Roberto Dinamite,517,Brasil,13/05/1954
Roger Milla,503,Cameroon,20/05/1852
Romário,780,Brasil,29/01/1966
Steve Bloomer,505,England,20/01/1874
Sándor Kocsis,556,Hungary,21/09/1929
Tommy Lawton,657,England,06/10/1919
Túlio Maravilha,575,Brasil,02/06/1969
Uwe Seeler,582,Germany,05/11/1936
Zico,545,Brasil,03/03/1953
Zlatan Ibrahimović,573,Sweden,03/10/1981
