Data;Token;Prezzo_USD
2025-11-01;BTC;110026.69
2025-11-02;BTC;110066.94
2025-11-03;BTC;110650.21
2025-11-04;BTC;106521.09
2025-11-05;BTC;101480.77
2025-11-06;BTC;103877.96
2025-11-07;BTC;101322.64
2025-11-08;BTC;103396.08
2025-11-09;BTC;102290.14
2025-11-10;BTC;104709.68
2025-11-11;BTC;105951.50
2025-11-12;BTC;103112.21
2025-11-13;BTC;101633.69
2025-11-14;BTC;99480.31
2025-11-15;BTC;94456.39
2025-11-16;BTC;95508.31
2025-11-17;BTC;94411.33
2025-11-18;BTC;92036.73
2025-11-19;BTC;92819.76
2025-11-20;BTC;91408.36
2025-11-21;BTC;86649.97
2025-11-22;BTC;85087.95
2025-11-23;BTC;84675.51
2025-11-24;BTC;86783.85
2025-11-25;BTC;88229.36
2025-11-26;BTC;87310.33
2025-11-27;BTC;90474.23
2025-11-28;BTC;91323.63
2025-11-29;BTC;90904.87
2025-11-30;BTC;90841.45
2025-12-01;BTC;90359.87
2025-12-02;BTC;86281.50
2025-12-03;BTC;91320.08
2025-12-04;BTC;93428.59
2025-12-05;BTC;92140.70
2025-12-06;BTC;89307.09
2025-12-07;BTC;89244.76
2025-12-08;BTC;90398.45
2025-12-09;BTC;90626.04
2025-12-10;BTC;92686.10
2025-12-11;BTC;92005.14
2025-12-12;BTC;92494.18
2025-12-13;BTC;90307.26
2025-12-14;BTC;90253.12
2025-12-15;BTC;88230.77
2025-12-16;BTC;86413.22
2025-12-17;BTC;87719.68
2025-12-18;BTC;86196.82
2025-12-19;BTC;85450.33
2025-12-20;BTC;88103.86
2025-12-21;BTC;88347.94
2025-12-22;BTC;88672.33
2025-12-23;BTC;88491.12
2025-12-24;BTC;87496.15
2025-12-25;BTC;87589.02
2025-12-26;BTC;87192.23
2025-12-27;BTC;87305.96
2025-12-28;BTC;87807.00
2025-12-29;BTC;87867.04
2025-12-30;BTC;87154.68
2025-12-31;BTC;88363.72
2026-01-01;BTC;87517.27
2026-01-02;BTC;88727.67
2026-01-03;BTC;89926.28
2026-01-04;BTC;90593.85
2026-01-05;BTC;91373.22
2026-01-06;BTC;93864.98
2025-11-01;ETH;3874.25
2025-11-02;ETH;3872.93
2025-11-03;ETH;3910.09
2025-11-04;ETH;3600.72
2025-11-05;ETH;3296.74
2025-11-06;ETH;3425.97
2025-11-07;ETH;3308.92
2025-11-08;ETH;3434.35
2025-11-09;ETH;3401.46
2025-11-10;ETH;3576.25
2025-11-11;ETH;3566.05
2025-11-12;ETH;3416.07
2025-11-13;ETH;3409.61
2025-11-14;ETH;3223.18
2025-11-15;ETH;3106.60
