Acampora, Spezia, centrocampista, 4
Acerbi, Lazio, difensore, 18
Adopo, Torino, centrocampista, 1
Adorante, Parma, attaccante, 1
Agoume, Spezia, centrocampista, 4
Agudelo, Spezia, centrocampista, 12
Akpa-Akpro, Lazio, centrocampista, 4
Alex Sandro, Juventus, difensore, 15
Alia, Lazio, portiere, 1
Amione, Verona, difensore, 2
Amrabat, Fiorentina, centrocampista, 14
Anderson D, Lazio, centrocampista, 3
Ansaldi, Torino, difensore, 16
Aresti, Cagliari, portiere, 1
Armini, Lazio, difensore, 1
Arslan, Udinese, centrocampista, 11
Arthur, Juventus, centrocampista, 17
Askildsen, Sampdoria, centrocampista, 4
Asoro, Genoa, attaccante, 8
Audero, Sampdoria, portiere, 17
Augello, Sampdoria, difensore, 10
Avogadri, Sampdoria, portiere, 1
Ayhan, Sassuolo, difensore, 8
Badelj, Genoa, centrocampista, 9
Bakayoko, Napoli, centrocampista, 15
Baldursson, Bologna, centrocampista, 1
Balogh, Parma, difensore, 1
Bani, Genoa, difensore, 8
Barak, Verona, centrocampista, 18
Barba, Benevento, difensore, 8
Barella, Inter, centrocampista, 21
Barreca, Fiorentina, difensore, 5
Barrow, Bologna, attaccante, 20
Baselli, Torino, centrocampista, 12
Basit, Benevento, centrocampista, 1
Bastoni, Inter, difensore, 12
Bastoni S, Spezia, difensore, 6
Becao, Udinese, difensore, 8
Behrami, Genoa, centrocampista, 8
Belotti, Torino, attaccante, 37
Benali, Crotone, centrocampista, 12
Benassi, Verona, centrocampista, 13
Bennacer, Milan, centrocampista, 14
Bentancur, Juventus, centrocampista, 15
Berardi, Sassuolo, attaccante, 34
Berardi A, Verona, portiere, 1
Bereszynski, Sampdoria, difensore, 7
Bernardeschi, Juventus, centrocampista, 15
Biraghi, Fiorentina, difensore, 14
Biraschi, Genoa, difensore, 7
Boer, Roma, portiere, 1
Boga, Sassuolo, attaccante, 24
Bonaventura, Fiorentina, centrocampista, 12
Bonazzoli, Torino, attaccante, 16
Bonifazi, Udinese, difensore, 8
Bonucci, Juventus, difensore, 18
Borja Valero, Fiorentina, centrocampista, 12
Bourabia, Sassuolo, centrocampista, 9
Brancolini, Fiorentina, portiere, 1
Bremer, Torino, difensore, 16
Breza, Bologna, portiere, 1
Brlek, Genoa, centrocampista, 4
Brozovic, Inter, centrocampista, 20
Brugman, Parma, centrocampista, 8
Brunetta, Parma, centrocampista, 11
Bruno Alves, Parma, difensore, 9
Bruno Peres, Roma, difensore, 10
Buffon, Juventus, portiere, 6
Buongiorno, Torino, difensore, 1
Busi, Parma, difensore, 4
C Ronaldo, Juventus, attaccante, 56
Caceres, Fiorentina, difensore, 10
Caicedo, Lazio, attaccante, 23
Calabresi, Bologna, difensore, 3
Calabria, Milan, difensore, 15
Calafiori, Roma, difensore, 1
Caldara, Atalanta, difensore, 8
Caldirola, Benevento, difensore, 11
Calhanoglu, Milan, centrocampista, 25
Caligara, Cagliari, centrocampista, 2
Callejon, Fiorentina, centrocampista, 17
Candreva, Sampdoria, centrocampista, 25
Capradossi, Spezia, difensore, 3
Caprari, Benevento, attaccante, 15
Caputo, Sassuolo, attaccante, 32
Carboni A, Cagliari, difensore, 5
Caso, Genoa, attaccante, 1
Cassata, Genoa, centrocampista, 7
Castillejo, Milan, centrocampista, 15
Castrovilli, Fiorentina, centrocampista, 19
Cataldi, Lazio, centrocampista, 8
Caviglia, Parma, centrocampista, 3
Ceccherini, Verona, difensore, 8
Ceppitelli, Cagliari, difensore, 9
Cerri, Cagliari, attaccante, 7
Cetin, Verona, difensore, 4
Chabot, Spezia, difensore, 8
Chiellini, Juventus, difensore, 15
Chiesa, Juventus, centrocampista, 33
Chiriches, Sassuolo, difensore, 9
Cigarini, Crotone, centrocampista, 6
Cleonise, Genoa, attaccante, 1
Colley, Sampdoria, difensore, 10
Colley E, Verona, attaccante, 9
Colombi, Parma, portiere, 1
Colombo, Milan, attaccante, 1
