player,position,team,birth_year,minutes,goals,assists,offsides,crosses,interceptions,tackles_won,pens_conceded,ball_recoveries,aerials_won,aerials_lost
Aaron Mooy,MF,Australia,1990,360,0,0,0,10,3,6,0,35,2,3
Aaron Ramsey,MF,Wales,1990,266,0,0,0,5,0,0,0,19,0,2
Abdelhamid Sabiri,MF,Morocco,1996,181,0,1,0,1,5,1,0,7,2,2
Abdelkarim Hassan,DF,Qatar,1993,270,0,0,1,6,1,3,0,11,3,1
Abderrazak Hamdallah,FW,Morocco,1990,68,0,0,0,0,0,0,0,4,1,7
Abdessamad Ezzalzouli,FW,Morocco,2001,93,0,0,0,1,0,2,0,4,1,2
Abdou Diallo,DF,Senegal,1996,331,0,0,0,3,1,2,0,17,7,6
Abdul Fatawu Issahaku,FW,Ghana,2004,1,0,0,0,0,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,1990,196,0,0,0,1,1,1,0,4,1,2
Abdulelah Al-Amri,DF,Saudi Arabia,1997,182,0,0,0,1,4,0,0,15,10,4
Abdulellah Al-Malki,MF,Saudi Arabia,1994,174,0,0,0,1,2,1,0,9,0,1
Abdullah Madu,DF,Saudi Arabia,1993,45,0,0,0,0,0,0,0,2,1,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,1995,35,0,0,0,2,0,3,0,1,1,1
Abolfazl Jalali,DF,IR Iran,1998,19,0,0,0,2,0,0,0,3,0,0
Achraf Dari,DF,Morocco,1999,187,1,0,0,0,5,0,0,10,5,5
Achraf Hakimi,DF,Morocco,1998,631,0,1,0,12,9,17,0,46,5,8
Adrien Rabiot,MF,France,1995,483,1,1,0,7,10,9,0,30,15,8
Agustín Canobbio,MF,Uruguay,1998,11,0,0,0,0,0,1,0,2,0,1
Ahmad Nourollahi,MF,IR Iran,1993,223,0,0,0,3,6,3,0,15,1,0
Ahmed Alaaeldin,FW,Qatar,1993,6,0,0,0,0,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,1997,270,0,0,0,0,0,0,0,3,0,0
Ajdin Hrustic,MF,Australia,1996,62,0,0,0,1,1,0,0,3,0,2
Akram Afif,FW,Qatar,1996,270,0,0,1,13,0,0,0,14,1,1
Alan Franco,MF,Ecuador,1998,46,0,0,0,0,2,0,0,1,1,1
Alejandro Balde,DF,Spain,2003,126,0,0,0,2,0,6,0,10,0,2
Aleksandar Mitrović,FW,Serbia,1994,262,2,0,1,1,0,0,0,6,5,12
Alex Sandro,DF,Brazil,1991,190,0,0,0,4,3,3,0,16,3,1
Alex Telles,DF,Brazil,1992,59,0,0,0,3,0,2,0,1,1,1
Alexander Bah,DF,Denmark,1997,46,0,0,0,4,2,4,0,3,4,0
Alexander Djiku,DF,Ghana,1994,97,0,0,0,0,2,1,0,3,2,0
Alexis Mac Allister,MF,Argentina,1998,550,1,1,0,1,3,4,0,40,5,12
Alexis Vega,FW,Mexico,1997,193,0,0,4,6,1,0,0,16,1,5
Ali Abdi,DF,Tunisia,1993,188,0,0,1,5,4,5,0,17,9,5
Ali Al Hassan,MF,Saudi Arabia,1997,45,0,0,0,1,0,1,0,1,0,0
Ali Al-Bulaihi,DF,Saudi Arabia,1989,216,0,0,0,0,3,2,0,5,3,3
Ali Assadalla,MF,Qatar,1993,27,0,0,0,0,0,0,0,1,0,0
Ali Gholizadeh,MF,IR Iran,1996,199,0,1,2,4,3,0,0,21,0,1
Ali Karimi,MF,IR Iran,1994,99,0,0,0,2,3,3,0,6,3,2
Ali Maâloul,DF,Tunisia,1990,90,0,0,0,13,0,1,0,5,0,1
Alidu Seidu,DF,Ghana,2000,155,0,0,0,6,0,4,0,6,1,0
